Sl No,New?,dataTagId,description,standardDescription,system,systemName,equipment,equipmentType,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureInstance,tagType,measureUnit,Remarks,designValue,goodDirection,lcl,ucl,manual,group,Design Value (100%),Design Parameters (80%)
391,,TI_10206_C,PA FAN A DE TEMPERATURE,PA FAN DE TEMPERATURE,Boiler,PCFB,PA Fan,,PA Fan A,1,Fan,Fan,1,Bearing,Fan Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
398,,TI_10207_D,PA FAN B DE TEMPERATURE,PA FAN DE TEMPERATURE,Boiler,PCFB,PA Fan,,PA Fan B,2,Fan,Fan,1,Bearing,Fan Bearing,1,DE,DE,1,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
392,,TI_10206_D,PA FAN A NDE TEMPERATURE,PA FAN NDE TEMPERATURE,Boiler,PCFB,PA Fan,,PA Fan A,1,Fan,Fan,1,Bearing,Fan Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
397,,TI_10207_D,PA FAN B NDE TEMPERATURE,PA FAN NDE TEMPERATURE,Boiler,PCFB,PA Fan,,PA Fan B,1,Fan,Fan,1,Bearing,Fan Bearing,1,NDE,NDE,1,Metal,Temperature,1,,DEG C,,,,0,300,,Mechanical,,
393,,PAF_A_I,PA FAN A ELECTRICALS CURRENT,PA FAN ELECTRICALS CURRENT,Boiler,PCFB,PA Fan,,PA Fan A,1,Motor,,,Winding,Motor Winding,1,,,,Power,Current,1,,AMP,,,,0,120,,Performance KPI,,
399,,PAF_B_I,PA FAN B ELECTRICALS CURRENT,PA FAN ELECTRICALS CURRENT,Boiler,PCFB,PA Fan,,PA Fan B,1,Motor,,,Winding,Motor Winding,1,,,,Power,Current,1,,AMP,,,,0,120,,Performance KPI,,
394,,PAF_A_IGV_XZ,PA FAN A SUC DAMPER,PA FAN SUC DAMPER,Boiler,PCFB,PA Fan,,PA Fan A,1,,,,Control Damper,Control Damper,1,,,,Position,Percentage,1,Feedback,%,,,,0,100,AUTO,Air Path,,
400,,PAF_B_IGV_XZ,PA FAN B SUC DAMPER,PA FAN SUC DAMPER,Boiler,PCFB,PA Fan,,PA Fan B,1,,,,Control Damper,Control Damper,1,,,,Position,Percentage,1,Feedback,%,,,,0,100,,Air Path,,
395,New,PI_05102_1,PA FAN A AIR DISCHARGE PRS,PRIMARY AIR DISCHARGE PRESSURE AT PA FAN,Boiler,PCFB,PA Fan,,PA Fan A,1,,,,,,,Outlet,Discharge,1,Primary Air,Pressure,1,,MMWC,,,,,,,Air Path,,
396,,PI_05102_3,PA FAN A DISCHARGE PRESSURE,PA FAN DISCHARGE PRESSURE,Boiler,PCFB,PA Fan,,PA Fan A,1,,,,,,,Outlet,Discharge,1,Primary Air,Pressure,1,,MMWC,,,,0,1500,,Air Path,,
401,New,PI_05102_2,PA FAN B AIR DISCHARGE PRS,PRIMARY AIR DISCHARGE PRESSURE AT PA FAN,Boiler,PCFB,PA Fan,,PA Fan B,1,,,,,,,Outlet,Discharge,1,Primary Air,Pressure,1,,MMWC,,,,,,,Air Path,,
549,,HRenu_U5_PA_Fan_A_Efficiency,PA FAN A EFFICIENCY,PA FAN EFFICIENCY,Boiler,PCFB,PA Fan,PA Fan,PA Fan A,1,,,,,,,,,,PA Fan,Efficiency,1,Derived,,,,High,,,,Performance KPI,,
550,,HRenu_U5_PA_Fan_B_Efficiency,PA FAN B EFFICIENCY,PA FAN EFFICIENCY,Boiler,PCFB,PA Fan,,PA Fan B,1,,,,,,,,,,PA Fan,Efficiency,1,Derived,%,,,High,,,,Performance KPI,,
547,,HRenu_U5_PSH_Attemperator_Steam_Temperature_Drop,PSH ATTEMPERATOR STEAM TEMPERATURE DROP,PSH ATTEMPERATOR STEAM TEMPERATURE DROP,Boiler,PCFB,SH Attemperator,,PSH Attemperator,1,,,,,,,,,,Steam,Temperature Difference,1,Derived,DEG C,,,Low,,,,Performance KPI,,
548,,HRenu_U5_SSH_Steam_Temperature_Rise,SSH STEAM TEMPERATURE RISE,SSH STEAM TEMPERATURE RISE,Boiler,PCFB,Secondary Superheater,,SSH,1,,,,,,,,,,Steam,Temperature Difference,1,Derived,DEG C,,,,,,,Performance KPI,,
424,,TIC_02208,STEAM TEMPERATURE AT PSH ATTEMPERATOR INLET,STEAM TEMPERATURE AT PSH ATTEMPERATOR INLET,Boiler,PCFB,SH Attemperator,,SH Attemperator,1,,,,,,,Inlet,Inlet,1,Steam,Temperature,1,,DEG C,,,,0,500,,Steam Path,,
428,,TIC_02209_S,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,Boiler,PCFB,SH Attemperator,,SH Attemperator,1,,,,,,,Outlet,Outlet,1,Steam,Temperature,1,,DEG C,,,,0,600,,Steam Path,,
425,New,TIC_02209_1_TX1,PSH ATTMP OL TEMP 1,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,Boiler,PCFB,SH Attemperator,,SH Attemperator,1,,,,,,,Outlet,Outlet,1,Steam,Temperature,2,,DEG C,,,,,,,Steam Path,370,
426,New,TIC_02209_2_TX2,PSH ATTMP OL TEMP 2,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,Boiler,PCFB,SH Attemperator,,SH Attemperator,1,,,,,,,Outlet,Outlet,1,Steam,Temperature,3,,DEG C,,,,,,,Steam Path,370,
427,New,TIC_02209_3_TX3,PSH ATTMP OL TEMP 3,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,Boiler,PCFB,SH Attemperator,,SH Attemperator,1,,,,,,,Outlet,Outlet,1,Steam,Temperature,4,,DEG C,,,,,,,Steam Path,370,
423,,FIC_01304,SPRAY WATER FLOW AT PSH ATTEMPERATOR,SPRAY WATER FLOW AT PSH ATTEMPERATOR,Boiler,PCFB,SH Attemperator,,SH Attemperator,1,,,,,,,,,,Spray Water,Flow,1,,TPH,,,,0,100,,Performance KPI,,
420,New,PI_02103,STM PRS BEFORE SOOTBLOWER,STEAM PRESSURE BEFORE SOOTBLOWER VALVE,Boiler,PCFB,Superheater,,PSH,1,,,,Sootblower Valve,Sootblower,1,Inlet,Inlet,1,Steam,Pressure,1,,KG/CM2,,,,,,,Steam Path,,
421,New,PI_02104,STM PRS AFTER SOOTBLOWER,STEAM PRESSURE AFTER SOOTBLOWER VALVE,Boiler,PCFB,Superheater,,PSH,1,,,,Sootblower Valve,Sootblower,1,Outlet,Outlet,1,Steam,Pressure,1,,KG/CM2,,,,,,,Steam Path,,
413,New,TI_10202_TUBE2,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 2,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 2,2,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
417,New,TI_10202_TUBE4,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 4,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 4,4,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
418,New,TI_10202_TUBE6,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 6,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 6,6,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
419,New,TI_10202_TUBE8,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 8,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 8,8,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
408,New,TI_10202_TUBE10,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 10,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 10,10,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
409,New,TI_10202_TUBE12,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 12,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 12,12,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
410,New,TI_10202_TUBE15,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 15,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 15,15,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
411,New,TI_10202_TUBE17,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 17,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 17,17,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
412,New,TI_10202_TUBE19,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 19,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 19,19,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
414,New,TI_10202_TUBE21,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 21,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 21,21,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
415,New,TI_10202_TUBE23,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 23,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 23,23,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
416,New,TI_10202_TUBE25,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 25,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,PSH,1,,,,Tube,Tube 25,25,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
405,New,PI_06102_B,PLATEN SH O/L DRAFT,FLUE GAS PRESSURE AT PLATEN SUPERHEATER OUTLET,Boiler,PCFB,Superheater,,PSH,1,,,,,,,Outlet,Outlet,1,Flue Gas,Pressure,1,,MMWC,,,,,,,Flue Gas Path,,
406,New,TI_06219,PLATEN SH O/L DRAFT TEMPERATURE,FLUE GAS TEMPERATURE AT PLATEN SUPERHEATER OUTLET,Boiler,PCFB,Superheater,,PSH,1,,,,,,,Outlet,Outlet,1,Flue Gas,Temperature,1,,DEG C,,,,,,,Flue Gas Path,,
407,,TIC_02208,STEAM TEMPERATURE AT PSH OUTLET,STEAM TEMPERATURE AT PSH OUTLET,Boiler,PCFB,Superheater,,PSH,1,,,,,,,Outlet,Outlet,1,Steam,Temperature,1,,DEG C,,,,,,,Steam Path,380,
546,,HRenu_U5_PSH_Gas_Pressure_Drop,PSH GAS PRESSURE DROP,PSH GAS PRESSURE DROP,Boiler,PCFB,Superheater,,PSH,1,,,,,,,,,,Flue Gas,Differential Pressure,1,Derived,MMWC,,,Low,,,,Performance KPI,,
545,,HRenu_U5_PSH_Gas_Temperature_Drop,PSH GAS TEMPERATURE DROP,PSH GAS TEMPERATURE DROP,Boiler,PCFB,Superheater,,PSH,1,,,,,,,,,,Flue Gas,Temperature Difference,1,Derived,DEG C,,,High,,,,Performance KPI,,
543,,HRenu_U5_PSH_Saturation_Temperature,PSH SATURATION TEMPERATURE,PSH SATURATION TEMPERATURE,Boiler,PCFB,Superheater,,PSH,1,,,,,,,,,,Saturation Steam,Temperature,1,Derived,DEG C,,,,,,,,,
544,,HRenu_U5_PSH_Steam_Temperature_Rise,PSH STEAM TEMPERATURE RISE,PSH STEAM TEMPERATURE RISE,Boiler,PCFB,Superheater,,PSH,1,,,,,,,,,,Steam,Temperature Difference,1,Derived,DEG C,,,High,,,,Performance KPI,,
435,,STM_FLOW,COMPENSATED MS FLOW,COMPENSATED MS FLOW,Boiler,PCFB,Superheater,,SSH,2,Main Steam Line,Main Steam Line,1,,,,Outlet,Outlet,1,Main Steam,Flow,1,,TPH,,,,0,450,,Steam Path,275,
434,,PI_02100_S,MAIN STEAM PRESSURE,MAIN STEAM PRESSURE,Boiler,PCFB,Superheater,,SSH,2,Main Steam Line,Main Steam Line,1,,,,Outlet,Outlet,1,Main Steam,Pressure,1,,KG/CM2,,,,0,150,AUTO,Steam Path,,
433,New,FICRWA_02305_P_R,DP ACROSS MAIN STEAM FLOW NOZZLE,DP ACROSS MAIN STEAM FLOW NOZZLE,Boiler,PCFB,Superheater,,SSH,2,Main Steam Line,Main Steam Line,1,,,,,,,Main Steam,Differential Pressure,1,,KG/CM2,,,,,,,Steam Path,,
436,,TICR_02207_S,MAIN STEAM TEMPERATURE,MAIN STEAM TEMPERATURE,Boiler,PCFB,Superheater,,SSH,2,Main Steam Line,Main Steam Line,1,,,,,,,Main Steam,Pressure,1,,DEG C,,,,0,600,,Steam Path,530,
444,New,TI_10201_TUBE2,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 2,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 2,2,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
453,New,TI_10201_TUBE6,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 6,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 6,6,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
442,New,TI_10201_TUBE10,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 10,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 10,10,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
443,New,TI_10201_TUBE15,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 15,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 15,15,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
445,New,TI_10201_TUBE20,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 20,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 20,20,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
446,New,TI_10201_TUBE25,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 25,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 25,25,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
447,New,TI_10201_TUBE30,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 30,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 30,30,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
448,New,TI_10201_TUBE34,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 34,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 34,34,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
449,New,TI_10201_TUBE38,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 38,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 38,38,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
450,New,TI_10201_TUBE42,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 42,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 42,42,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
451,New,TI_10201_TUBE46,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 46,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 46,46,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
452,New,TI_10201_TUBE50,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 50,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,,SSH,2,,,,Tube,Tube 50,50,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
432,New,TI_06208,FLUE GAS TEMP AT FINAL SH,FLUE GAS TEMPERATURE AT FINAL SUPERHEATER OUTLET,Boiler,PCFB,Superheater,,SSH,2,,,,,,,Inlet,Inlet,1,Flue Gas,Temperature,1,,DEG C,,,,,,,Flue Gas Path,,
437,,TIC_02209_S,STEAM TEMPERATURE AT SECONDARY SUPERHEATER INLET,STEAM TEMPERATURE AT SECONDARY SUPERHEATER INLET,Boiler,PCFB,Superheater,,SSH,2,,,,,,,Inlet,Inlet,1,Steam,Temperature,1,,DEG C,,,,0,600,,Steam Path,,
431,New,PI_06102_9,DRAFT AFTER SSH,FLUE GAS PRESSURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,,SSH,2,,,,,,,Outlet,Outlet,1,Flue Gas,Pressure,1,,MMWC,,,,,,,Flue Gas Path,,
441,,TICR_02207_S,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,,SSH,2,,,,,,,Outlet,Outlet,1,Main Steam,Temperature,1,,DEG C,,,,0,600,,Steam Path,530,
438,New,TICR_02207_1_TX1,FINAL SH OL STM TEMP 1,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,,SSH,2,,,,,,,Outlet,Outlet,1,Main Steam,Temperature,2,,DEG C,,,,,,,Steam Path,530,
439,New,TICR_02207_2_TX2,FINAL SH OL STM TEMP 2,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,,SSH,2,,,,,,,Outlet,Outlet,1,Main Steam,Temperature,3,,DEG C,,,,,,,Steam Path,530,
440,New,TICR_02207_3_TX3,FINAL SH OL STM TEMP 3,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,,SSH,2,,,,,,,Outlet,Outlet,1,Main Steam,Temperature,4,,DEG C,,,,,,,Steam Path,530,
88,New,EI_27907,CEP 5A CURRENT,CEP CURRENT,Condensate Cycle,Condensate Cycle,CEP,,CEP 5A,1,Motor,Motor,1,Winding,Motor Winding,1,,,,Power,Current,1,,AMP,,,Low,,,,Performance KPI,,
87,New,TIA02202,CEP A BEARING TEMP,CEP BEARING TEMPERATURE,Condensate Cycle,Condensate Cycle,CEP,,CEP 5A,1,Pump,Pump,1,Bearing,Pump Bearing,1,,,,Metal,Temperature,1,,DEG C,,,Low,,,,Mechanical,,
93,New,TIR01215,CONDENSATE TEMPERATURE AT CEP 5A INLET,CONDENSATE TEMPERATURE AT CEP INLET,Condensate Cycle,Condensate Cycle,CEP,,CEP 5A,1,Pump,Pump,1,,,,Inlet,Inlet,1,Condensate,Temperature,1,,DEG C,,,,,,,Condensate Path,,
89,New,CORIOLIS_COND_FLW,CONDENSATE FLOW CEP OL,CONDENSATE FLOW AT CEP OUTLET,Condensate Cycle,Condensate Cycle,CEP,,CEP 5A,1,Pump,Pump,1,,,,Outlet,Discharge,1,Condensate,Flow,1,,TPH,,,,,,,Condensate Path,,
90,New,FICSR03404,CONDENSATE FLOW CEP OL,CONDENSATE FLOW AT CEP OUTLET,Condensate Cycle,Condensate Cycle,CEP,,CEP 5A,1,Pump,Pump,1,,,,Outlet,Discharge,1,Condensate,Flow,1,,TPH,,,,,,,Condensate Path,,
91,New,PIRSA02107,CONDENSAE PRES AT CEP OL,CONDENSATE PRESSURE AT CEP OUTLET,Condensate Cycle,Condensate Cycle,CEP,,CEP 5A,1,Pump,Pump,1,,,,Outlet,Outlet,1,Condensate,Pressure,1,,KG/CM2,,,,,,,Condensate Path,,
94,New,TIA02201,CEP B BEARING TEMP,CEP BEARING TEMPERATURE,Condensate Cycle,Condensate Cycle,CEP,,CEP 5B,2,Motor,Motor,1,Bearing,Motor Bearing,1,,,,Metal,Temperature,1,,DEG C,,,,,,,Mechanical,,
95,New,EI_27908,CEP 5B CURRENT,CEP CURRENT,Condensate Cycle,Condensate Cycle,CEP,,CEP 5B,2,Motor,Motor,1,Winding,Motor Winding,1,,,,Power,Current,1,,AMP,,,,,,,Performance KPI,,
97,New,TIR01213,CONDENSATE TEMPERATURE AT CEP 5B INLET,CONDENSATE TEMPERATURE AT CEP INLET,Condensate Cycle,Condensate Cycle,CEP,,CEP 5B,2,Pump,Pump,1,,,,Inlet,Inlet,1,Condensate,Temperature,1,,DEG C,,,,,,,Condensate Path,,
92,New,TI02203,CONDENSATE HEADER TEMPERATURE,CONDENSATE HEADER TEMPERATURE,Condensate Cycle,Condensate Cycle,CEP Header,,CEP Header,1,,,,,,,Outlet,Discharge,1,Condensate,Temperature,1,,DEG C,,,,,,,Condensate Path,,
96,New,TI02203,CONDENSATE HEADER TEMPERATURE,CONDENSATE HEADER TEMPERATURE,Condensate Cycle,Condensate Cycle,CEP Header,,CEP Header,1,,,,,,,Outlet,Discharge,1,Condensate,Temperature,2,,DEG C,,,,,,,Condensate Path,,
101,New,LICR_01302_FB,HTWL L CV OPEN POS FB,HOT WELL LEVEL VALVE OPEN POSITION,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,Hotwell,Hotwell,1,Control Valve,Control Valve,1,,,,Position,OPEN,1,Feedback,%,,,,,,FB,Condensate Path,,
100,,LC_01302,HOT WELL LEVEL,HOT WELL LEVEL,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,Hotwell,Hotwell,1,,,,,,,Condensate,Level,1,,MM,,,,-600,600,,Condensate Path,,
110,New,PIS01109_E,CW PRS I/L CONDENSOR,COOLING WATER PRESSUREAT CONDENSOR INLET,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,Inlet,Inlet,1,Cooling Water,Pressure,1,,KG/CM2,,,,,,,Cooling Water Path,,
109,New,PIS01108_B,CW IL TO CONDE PRS EAST,COOLING WATER PRESSUREAT CONDENSOR INLET,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,Inlet,Inlet,1,Cooling Water,Pressure,2,,KG/CM2,,,,,,,Cooling Water Path,,
112,New,TIR01201,COOLING WATER TEMPERATURE AT CONDENSOR INLET,COOLING WATER TEMPERATURE AT CONDENSOR INLET,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,Inlet,Inlet,1,Cooling Water,Temperature,1,,DEG C,,,,,,,Cooling Water Path,32,
107,New,PI01112,CW OL OF COND PRS,COOLING WATER PRESSUREAT CONDENSOR OUTLET,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,Outlet,Outlet,1,Cooling Water,Pressure,1,,KG/CM2,,,,,,,Cooling Water Path,,
108,New,PI0113,CW OL PRS AT CONDENSOR,COOLING WATER PRESSUREAT CONDENSOR OUTLET,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,Outlet,Outlet,1,Cooling Water,Pressure,2,,KG/CM2,,,,,,,Cooling Water Path,,
111,New,TE01217_B,COOLING WATER TEMPERATURE AT CONDENSOR OUTLET,COOLING WATER TEMPERATURE AT CONDENSOR OUTLET,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,Outlet,Outlet,1,Cooling Water,Temperature,1,,DEG C,,,,,,,Cooling Water Path,39.2,
99,,FICSR03403,CONDENSATE FLOW,CONDENSATE FLOW,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,,,,Condensate,Flow,1,,TPH,,,,0,550,,Condensate Path,191.95,
102,,MAY91CX210,CONDENSER VACUUM,CONDENSER VACUUM,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,Inlet,Inlet,1,Condensate,Pressure,1,,BAR A,,,,0,1.2,,Performance KPI,0.091,
105,,PDI01110,WATERBOX DIFFERENTIAL PRESSURE,WATERBOX DIFFERENTIAL PRESSURE,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,,,,Cooling Water,Differential Pressure,1,,KG/CM2,,,,0,1,,Cooling Water Path,,
106,,PDI01111,WATERBOX DIFFERENTIAL PRESSURE,WATERBOX DIFFERENTIAL PRESSURE,Condensate Cycle,Condensate Cycle,Condenser,,Condenser,1,,,,,,,,,,Cooling Water,Differential Pressure,2,,KG/CM2,,,,0,1,,Cooling Water Path,,
133,,LICAR_06302,DEAERATOR LEVEL,DEAERATOR LEVEL,Condensate Cycle,Condensate Cycle,Deaerator,,Deaerator,1,,,,,,,,,,Extraction,Level,1,,MM,,,,-250,250,,Performance KPI,,
139,,FICSR03404,FEED WATER FLOW AT DEAERATOR INLET,FEED WATER FLOW AT DEAERATOR INLET,Condensate Cycle,Condensate Cycle,Deaerator,,Deaerator,,Feed Water Shell,Feed Water Shell,1,,,,Inlet,Inlet,1,Feed Water,Flow,1,,TPH,,,,,,,Feed Water Path,225.79,
125,,PIRSA02107,FEED WATER PRESSURE AT DEAERATOR INLET,FEED WATER PRESSURE AT DEAERATOR INLET,Condensate Cycle,Condensate Cycle,Deaerator,,Deaerator,,Feed Water Shell,Feed Water Shell,1,,,,Inlet,Inlet,1,Feed Water,Pressure,1,,KG/CM2,,,,,,,Feed Water Path,,
140,,FW_FLOW,FEED WATER FLOW AT DEAERATOR OUTLET,FEED WATER FLOW AT DEAERATOR OUTLET,Condensate Cycle,Condensate Cycle,Deaerator,,Deaerator,,Feed Water Shell,Feed Water Shell,1,,,,Outlet,Outlet,1,Feed Water,Flow,1,,TPH,,,,0,450,,Feed Water Path,282.74,
127,,TR_06205,FEED WATER TEMPERATURE AT DEAERATOR OUTLET,FEED WATER TEMPERATURE AT DEAERATOR OUTLET,Condensate Cycle,Condensate Cycle,Deaerator,,Deaerator,,Feed Water Shell,Feed Water Shell,1,,,,Outlet,Outlet,1,Feed Water,Temperature,1,,DEG C,,,,0,300,,Feed Water Path,,
126,New,TI_06212,FEED WATER TEMPERATURE AT DEAERATOR OUTLET,FEED WATER TEMPERATURE AT DEAERATOR OUTLET,Condensate Cycle,Condensate Cycle,Deaerator,,Deaerator,,Feed Water Shell,Feed Water Shell,1,,,,Outlet,Outlet,1,Feed Water,Temperature,1,,DEG C,,,,,,,Feed Water Path,,
,,LICAR06302.SP,DEAERATOR LOW LEVEL COTROL SP,Deaerator Level Setpoint,Condensate Cycle,Condensate Cycle,Deaerator,,Deaerator,,,,,Emergency Level Control,Emergency Level Control,1,,,,Extraction,Level,1,Setpoint,MMWC,~ -34,,,,,SP,,,
134,New,LICAR06302_FB,DEA L CV OPEN POS,DEAERATOR LEVEL VALVE OPEN POSITION,Condensate Cycle,Condensate Cycle,Deaerator,,Deaerator,,,,,Level Control Valve,Level Control Valve,1,,,,Position,OPEN,1,Feedback,%,,,,,,FB,Performance KPI,,
