,Sl No,New?,dataTagId,description,standardDescription,system,systemName,equipment,equipmentType,equipmentName,equipmentInstance,component,componentName,componentInstance,subcomponent,subcomponentName,subcomponentInstance,measureLocation,measureLocationName,measureLocationInstance,measureProperty,measureType,measureInstance,tagType,measureUnit,Remarks,designValue,goodDirection,lcl,ucl,manual,group,Design Value (100%),Design Parameters (80%),invalid
177,265,New,TI_10208_I,ID FAN A WNDG TEMP B_PH,ID FAN WINDING TEMPERATURE B-PHASE,Boiler,PCFB,ID Fan,-,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,Phase,B-Phase,3,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
178,266,New,TI_10208_J,ID FAN A WNDG TEMP B_PH,ID FAN WINDING TEMPERATURE B-PHASE,Boiler,PCFB,ID Fan,-,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,Phase,B-Phase,3,Metal,Temperature,2,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
179,257,-,IDF_A_VFD_I,ID FAN A ELECTRICALS CURRENT,ID FAN ELECTRICALS CURRENT,Boiler,PCFB,ID Fan,-,ID Fan A,1,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Power,Current,1,-,AMP,-,-,-,0,1000,-,Performance KPI,-,-,
180,258,-,IDF_A_VFD_SPD,ID FAN A SPEED ROTOR,ID FAN SPEED ROTOR,Boiler,PCFB,ID Fan,-,ID Fan A,1,Motor,Motor,1,-,-,-,-,-,-,Rotor,Speed,1,-,RPM,-,-,-,0,750,-,Mechanical,-,-,
181,267,-,PI_06102_13,ID FAN A DISCHARGE PRESSURE,ID FAN DISCHARGE PRESSURE,Boiler,PCFB,ID Fan,-,ID Fan A,1,-,-,-,-,-,-,Outlet,Discharge,1,Flue Gas,Pressure,1,-,MMWC,-,-,-,0,50,-,Flue Gas Path,-,-,
182,268,-,TI_06216,ID FAN A DISCHARGE TEMPERATURE,ID DISCHARGE TEMPERATURE,Boiler,PCFB,ID Fan,-,ID Fan A,1,-,-,-,-,-,-,Outlet,Discharge,1,Flue Gas,Temperature,1,-,DEG C,-,-,-,0,150,-,Flue Gas Path,-,-,
183,553,-,HRenu_U5_ID_Fan_A_Efficiency,ID FAN A EFFICIENCY,ID FAN EFFICIENCY,Boiler,PCFB,ID Fan,-,ID Fan A,1,-,-,-,-,-,-,-,-,-,ID Fan,Efficiency,1,Derived,-,-,-,-,-,-,-,Performance KPI,-,-,
184,269,New,TI_10209_C,ID FAN B FAN BRNG DE TEMP,ID FAN FAN BEARING DE TEMPERATURE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Fan,Fan,1,Bearing,Fan Bearing,1,DE,DE,1,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
185,270,New,TI_10209_D,ID FAN B FAN BRNG NDE TEMP,ID FAN FAN BEARING NDE TEMPERATURE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Fan,Fan,1,Bearing,Fan Bearing,1,NDE,NDE,1,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
186,273,New,TI_10209_A,ID FAN B MOTOR BRNG DE TEMP,ID FAN MOTOR BEARING DE TEMPERATURE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,Bearing,Motor Bearing,1,DE,DE,1,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
187,274,New,TI_10209_B,ID FAN B MOTOR BRNG NDE TEMP,ID FAN MOTOR BEARING NDE TEMPERATURE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,Bearing,Motor Bearing,1,NDE,NDE,1,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
188,275,New,TI_10209_E,ID FAN B WNDG TEMP R-PH,ID FAN WINDING TEMPERATURE R-PHASE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,R-Phase,1,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
189,276,New,TI_10209_F,ID FAN B WNDG TEMP R_PH,ID FAN WINDING TEMPERATURE R-PHASE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,R-Phase,1,Metal,Temperature,2,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
190,277,New,TI_10209_G,ID FAN B WNDG TEMP Y-PH,ID FAN WINDING TEMPERATURE Y-PHASE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,Y-Phase,2,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
191,278,New,TI_10209_H,ID FAN B WNDG TEMP Y-PH,ID FAN WINDING TEMPERATURE Y-PHASE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,Y-Phase,2,Metal,Temperature,2,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
192,279,New,TI_10209_I,ID FAN B WNDG TEMP B-PH,ID FAN WINDING TEMPERATURE B-PHASE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,B-Phase,3,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
193,280,New,TI_10209_J,ID FAN B WNDG TEMP B-PH,ID FAN WINDING TEMPERATURE B-PHASE,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,Phase,B-Phase,3,Metal,Temperature,2,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
194,271,-,IDF_B_VFD_I,ID FAN B ELECTRICALS CURRENT,ID FAN ELECTRICALS CURRENT,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,Winding,Motor Winding,1,-,-,-,Power,Current,1,-,AMP,-,-,-,0,1000,-,Performance KPI,-,-,
195,272,-,IDF_B_VFD_SPD,ID FAN B SPEED ROTOR,ID FAN SPEED ROTOR,Boiler,PCFB,ID Fan,-,ID Fan B,2,Motor,Motor,1,-,-,-,-,-,-,Rotor,Speed,1,-,RPM,-,-,-,0,750,-,Mechanical,-,-,
196,281,-,PI_06102_14,ID FAN B DISCHARGE PRESSURE,ID FAN DISCHARGE PRESSURE,Boiler,PCFB,ID Fan,-,ID Fan B,2,-,-,-,-,-,-,Outlet,Discharge,1,Flue Gas,Pressure,1,-,MMWC,-,-,-,0,50,-,Flue Gas Path,-,-,
197,282,-,TI_06217,ID FAN B DISCHARGE TEMPERATURE,ID DISCHARGE TEMPERATURE,Boiler,PCFB,ID Fan,-,ID Fan B,2,-,-,-,-,-,-,Outlet,Discharge,1,Flue Gas,Temperature,1,-,DEG C,-,-,-,0,150,-,Flue Gas Path,-,-,
198,554,-,HRenu_U5_ID_Fan_B_Efficiency,ID FAN B EFFICIENCY,ID FAN EFFICIENCY,Boiler,PCFB,ID Fan,-,ID Fan B,2,-,-,-,-,-,-,-,-,-,ID Fan,Efficiency,1,Derived,-,-,-,-,-,-,-,Performance KPI,-,-,
199,391,-,TI_10206_C,PA FAN A DE TEMPERATURE,PA FAN DE TEMPERATURE,Boiler,PCFB,PA Fan,-,PA Fan A,1,Fan,Fan,1,Bearing,Fan Bearing,1,DE,DE,1,Metal,Temperature,1,-,DEG C,-,-,-,0,300,-,Mechanical,-,-,
200,398,-,TI_10207_D,PA FAN B DE TEMPERATURE,PA FAN DE TEMPERATURE,Boiler,PCFB,PA Fan,-,PA Fan B,2,Fan,Fan,1,Bearing,Fan Bearing,1,DE,DE,1,Metal,Temperature,1,-,DEG C,-,-,-,0,300,-,Mechanical,-,-,
201,392,-,TI_10206_D,PA FAN A NDE TEMPERATURE,PA FAN NDE TEMPERATURE,Boiler,PCFB,PA Fan,-,PA Fan A,1,Fan,Fan,1,Bearing,Fan Bearing,1,NDE,NDE,1,Metal,Temperature,1,-,DEG C,-,-,-,0,300,-,Mechanical,-,-,
202,397,-,TI_10207_D,PA FAN B NDE TEMPERATURE,PA FAN NDE TEMPERATURE,Boiler,PCFB,PA Fan,-,PA Fan B,1,Fan,Fan,1,Bearing,Fan Bearing,1,NDE,NDE,1,Metal,Temperature,1,-,DEG C,-,-,-,0,300,-,Mechanical,-,-,Rule-9: Duplicate dataTagId
203,393,-,PAF_A_I,PA FAN A ELECTRICALS CURRENT,PA FAN ELECTRICALS CURRENT,Boiler,PCFB,PA Fan,-,PA Fan A,1,Motor,-,-,Winding,Motor Winding,1,-,-,-,Power,Current,1,-,AMP,-,-,-,0,120,-,Performance KPI,-,-,
204,399,-,PAF_B_I,PA FAN B ELECTRICALS CURRENT,PA FAN ELECTRICALS CURRENT,Boiler,PCFB,PA Fan,-,PA Fan B,1,Motor,-,-,Winding,Motor Winding,1,-,-,-,Power,Current,1,-,AMP,-,-,-,0,120,-,Performance KPI,-,-,
205,394,-,PAF_A_IGV_XZ,PA FAN A SUC DAMPER,PA FAN SUC DAMPER,Boiler,PCFB,PA Fan,-,PA Fan A,1,-,-,-,Control Damper,Control Damper,1,-,-,-,Position,Percentage,1,Feedback,%,-,-,-,0,100,AUTO,Air Path,-,-,
206,400,-,PAF_B_IGV_XZ,PA FAN B SUC DAMPER,PA FAN SUC DAMPER,Boiler,PCFB,PA Fan,-,PA Fan B,1,-,-,-,Control Damper,Control Damper,1,-,-,-,Position,Percentage,1,Feedback,%,-,-,-,0,100,-,Air Path,-,-,
207,395,New,PI_05102_1,PA FAN A AIR DISCHARGE PRS,PRIMARY AIR DISCHARGE PRESSURE AT PA FAN,Boiler,PCFB,PA Fan,-,PA Fan A,1,-,-,-,-,-,-,Outlet,Discharge,1,Primary Air,Pressure,1,-,MMWC,-,-,-,-,-,-,Air Path,-,-,
208,396,-,PI_05102_3,PA FAN A DISCHARGE PRESSURE,PA FAN DISCHARGE PRESSURE,Boiler,PCFB,PA Fan,-,PA Fan A,1,-,-,-,-,-,-,Outlet,Discharge,1,Primary Air,Pressure,1,-,MMWC,-,-,-,0,1500,-,Air Path,-,-,Rule-9: Duplicate dataTagId
209,401,New,PI_05102_2,PA FAN B AIR DISCHARGE PRS,PRIMARY AIR DISCHARGE PRESSURE AT PA FAN,Boiler,PCFB,PA Fan,-,PA Fan B,1,-,-,-,-,-,-,Outlet,Discharge,1,Primary Air,Pressure,1,-,MMWC,-,-,-,-,-,-,Air Path,-,-,
210,549,-,HRenu_U5_PA_Fan_A_Efficiency,PA FAN A EFFICIENCY,PA FAN EFFICIENCY,Boiler,PCFB,PA Fan,PA Fan,PA Fan A,1,-,-,-,-,-,-,-,-,-,PA Fan,Efficiency,1,Derived,-,-,-,High,-,-,-,Performance KPI,-,-,
211,550,-,HRenu_U5_PA_Fan_B_Efficiency,PA FAN B EFFICIENCY,PA FAN EFFICIENCY,Boiler,PCFB,PA Fan,-,PA Fan B,1,-,-,-,-,-,-,-,-,-,PA Fan,Efficiency,1,Derived,%,-,-,High,-,-,-,Performance KPI,-,-,
212,547,-,HRenu_U5_PSH_Attemperator_Steam_Temperature_Drop,PSH ATTEMPERATOR STEAM TEMPERATURE DROP,PSH ATTEMPERATOR STEAM TEMPERATURE DROP,Boiler,PCFB,SH Attemperator,-,PSH Attemperator,1,-,-,-,-,-,-,-,-,-,Steam,Temperature Difference,1,Derived,DEG C,-,-,Low,-,-,-,Performance KPI,-,-,
213,548,-,HRenu_U5_SSH_Steam_Temperature_Rise,SSH STEAM TEMPERATURE RISE,SSH STEAM TEMPERATURE RISE,Boiler,PCFB,Secondary Superheater,-,SSH,1,-,-,-,-,-,-,-,-,-,Steam,Temperature Difference,1,Derived,DEG C,-,-,-,-,-,-,Performance KPI,-,-,
214,424,-,TIC_02208,STEAM TEMPERATURE AT PSH ATTEMPERATOR INLET,STEAM TEMPERATURE AT PSH ATTEMPERATOR INLET,Boiler,PCFB,SH Attemperator,-,SH Attemperator,1,-,-,-,-,-,-,Inlet,Inlet,1,Steam,Temperature,1,-,DEG C,-,-,-,0,500,-,Steam Path,-,-,
215,428,-,TIC_02209_S,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,Boiler,PCFB,SH Attemperator,-,SH Attemperator,1,-,-,-,-,-,-,Outlet,Outlet,1,Steam,Temperature,1,-,DEG C,-,-,-,0,600,-,Steam Path,-,-,
216,425,New,TIC_02209_1_TX1,PSH ATTMP OL TEMP 1,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,Boiler,PCFB,SH Attemperator,-,SH Attemperator,1,-,-,-,-,-,-,Outlet,Outlet,1,Steam,Temperature,2,-,DEG C,-,-,-,-,-,-,Steam Path,370,-,
217,426,New,TIC_02209_2_TX2,PSH ATTMP OL TEMP 2,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,Boiler,PCFB,SH Attemperator,-,SH Attemperator,1,-,-,-,-,-,-,Outlet,Outlet,1,Steam,Temperature,3,-,DEG C,-,-,-,-,-,-,Steam Path,370,-,
218,427,New,TIC_02209_3_TX3,PSH ATTMP OL TEMP 3,STEAM TEMPERATURE AT PSH ATTEMPERATOR OUTLET,Boiler,PCFB,SH Attemperator,-,SH Attemperator,1,-,-,-,-,-,-,Outlet,Outlet,1,Steam,Temperature,4,-,DEG C,-,-,-,-,-,-,Steam Path,370,-,
219,423,-,FIC_01304,SPRAY WATER FLOW AT PSH ATTEMPERATOR,SPRAY WATER FLOW AT PSH ATTEMPERATOR,Boiler,PCFB,SH Attemperator,-,SH Attemperator,1,-,-,-,-,-,-,-,-,-,Spray Water,Flow,1,-,TPH,-,-,-,0,100,-,Performance KPI,-,-,
220,420,New,PI_02103,STM PRS BEFORE SOOTBLOWER,STEAM PRESSURE BEFORE SOOTBLOWER VALVE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Sootblower Valve,Sootblower,1,Inlet,Inlet,1,Steam,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Steam Path,-,-,
221,421,New,PI_02104,STM PRS AFTER SOOTBLOWER,STEAM PRESSURE AFTER SOOTBLOWER VALVE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Sootblower Valve,Sootblower,1,Outlet,Outlet,1,Steam,Pressure,1,-,KG/CM2,-,-,-,-,-,-,Steam Path,-,-,
222,413,New,TI_10202_TUBE2,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 2,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 2,2,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
223,417,New,TI_10202_TUBE4,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 4,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 4,4,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
224,418,New,TI_10202_TUBE6,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 6,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 6,6,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
225,419,New,TI_10202_TUBE8,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 8,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 8,8,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
226,408,New,TI_10202_TUBE10,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 10,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 10,10,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
227,409,New,TI_10202_TUBE12,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 12,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 12,12,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
228,410,New,TI_10202_TUBE15,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 15,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 15,15,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
229,411,New,TI_10202_TUBE17,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 17,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 17,17,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
230,412,New,TI_10202_TUBE19,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 19,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 19,19,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
231,414,New,TI_10202_TUBE21,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 21,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 21,21,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
232,415,New,TI_10202_TUBE23,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 23,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 23,23,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
233,416,New,TI_10202_TUBE25,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE 25,PLATEN SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,Tube,Tube 25,25,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
234,405,New,PI_06102_B,PLATEN SH O/L DRAFT,FLUE GAS PRESSURE AT PLATEN SUPERHEATER OUTLET,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,-,-,-,Outlet,Outlet,1,Flue Gas,Pressure,1,-,MMWC,-,-,-,-,-,-,Flue Gas Path,-,-,
235,406,New,TI_06219,PLATEN SH O/L DRAFT TEMPERATURE,FLUE GAS TEMPERATURE AT PLATEN SUPERHEATER OUTLET,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,-,-,-,Outlet,Outlet,1,Flue Gas,Temperature,1,-,DEG C,-,-,-,-,-,-,Flue Gas Path,-,-,
236,407,-,TIC_02208,STEAM TEMPERATURE AT PSH OUTLET,STEAM TEMPERATURE AT PSH OUTLET,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,-,-,-,Outlet,Outlet,1,Steam,Temperature,1,-,DEG C,-,-,-,-,-,-,Steam Path,380,-,Rule-9: Duplicate dataTagId
237,546,-,HRenu_U5_PSH_Gas_Pressure_Drop,PSH GAS PRESSURE DROP,PSH GAS PRESSURE DROP,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,-,-,-,-,-,-,Flue Gas,Differential Pressure,1,Derived,MMWC,-,-,Low,-,-,-,Performance KPI,-,-,
238,545,-,HRenu_U5_PSH_Gas_Temperature_Drop,PSH GAS TEMPERATURE DROP,PSH GAS TEMPERATURE DROP,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,-,-,-,-,-,-,Flue Gas,Temperature Difference,1,Derived,DEG C,-,-,High,-,-,-,Performance KPI,-,-,
239,543,-,HRenu_U5_PSH_Saturation_Temperature,PSH SATURATION TEMPERATURE,PSH SATURATION TEMPERATURE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,-,-,-,-,-,-,Saturation Steam,Temperature,1,Derived,DEG C,-,-,-,-,-,-,-,-,-,
240,544,-,HRenu_U5_PSH_Steam_Temperature_Rise,PSH STEAM TEMPERATURE RISE,PSH STEAM TEMPERATURE RISE,Boiler,PCFB,Superheater,-,PSH,1,-,-,-,-,-,-,-,-,-,Steam,Temperature Difference,1,Derived,DEG C,-,-,High,-,-,-,Performance KPI,-,-,
241,435,-,STM_FLOW,COMPENSATED MS FLOW,COMPENSATED MS FLOW,Boiler,PCFB,Superheater,-,SSH,2,Main Steam Line,Main Steam Line,1,-,-,-,Outlet,Outlet,1,Main Steam,Flow,1,-,TPH,-,-,-,0,450,-,Steam Path,275,-,
242,434,-,PI_02100_S,MAIN STEAM PRESSURE,MAIN STEAM PRESSURE,Boiler,PCFB,Superheater,-,SSH,2,Main Steam Line,Main Steam Line,1,-,-,-,Outlet,Outlet,1,Main Steam,Pressure,1,-,KG/CM2,-,-,-,0,150,AUTO,Steam Path,-,-,
243,433,New,FICRWA_02305_P_R,DP ACROSS MAIN STEAM FLOW NOZZLE,DP ACROSS MAIN STEAM FLOW NOZZLE,Boiler,PCFB,Superheater,-,SSH,2,Main Steam Line,Main Steam Line,1,-,-,-,-,-,-,Main Steam,Differential Pressure,1,-,KG/CM2,-,-,-,-,-,-,Steam Path,-,-,
244,436,-,TICR_02207_S,MAIN STEAM TEMPERATURE,MAIN STEAM TEMPERATURE,Boiler,PCFB,Superheater,-,SSH,2,Main Steam Line,Main Steam Line,1,-,-,-,-,-,-,Main Steam,Pressure,1,-,DEG C,-,-,-,0,600,-,Steam Path,530,-,
245,444,New,TI_10201_TUBE2,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 2,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 2,2,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
246,453,New,TI_10201_TUBE6,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 6,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 6,6,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
247,442,New,TI_10201_TUBE10,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 10,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 10,10,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
248,443,New,TI_10201_TUBE15,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 15,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 15,15,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
249,445,New,TI_10201_TUBE20,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 20,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 20,20,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
250,446,New,TI_10201_TUBE25,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 25,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 25,25,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
251,447,New,TI_10201_TUBE30,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 30,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 30,30,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
252,448,New,TI_10201_TUBE34,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 34,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 34,34,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
253,449,New,TI_10201_TUBE38,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 38,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 38,38,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
254,450,New,TI_10201_TUBE42,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 42,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 42,42,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
255,451,New,TI_10201_TUBE46,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 46,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 46,46,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
256,452,New,TI_10201_TUBE50,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE 50,SECONDARY SUPERHEATER METAL TEMPERATURE AT TUBE,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,Tube,Tube 50,50,-,-,-,Metal,Temperature,1,-,DEG C,-,-,-,-,-,-,Mechanical,-,-,
257,432,New,TI_06208,FLUE GAS TEMP AT FINAL SH,FLUE GAS TEMPERATURE AT FINAL SUPERHEATER OUTLET,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,-,-,-,Inlet,Inlet,1,Flue Gas,Temperature,1,-,DEG C,-,-,-,-,-,-,Flue Gas Path,-,-,
258,437,-,TIC_02209_S,STEAM TEMPERATURE AT SECONDARY SUPERHEATER INLET,STEAM TEMPERATURE AT SECONDARY SUPERHEATER INLET,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,-,-,-,Inlet,Inlet,1,Steam,Temperature,1,-,DEG C,-,-,-,0,600,-,Steam Path,-,-,Rule-9: Duplicate dataTagId
259,431,New,PI_06102_9,DRAFT AFTER SSH,FLUE GAS PRESSURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,-,-,-,Outlet,Outlet,1,Flue Gas,Pressure,1,-,MMWC,-,-,-,-,-,-,Flue Gas Path,-,-,
260,441,-,TICR_02207_S,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,-,-,-,Outlet,Outlet,1,Main Steam,Temperature,1,-,DEG C,-,-,-,0,600,-,Steam Path,530,-,Rule-9: Duplicate dataTagId
261,438,New,TICR_02207_1_TX1,FINAL SH OL STM TEMP 1,STEAM TEMPERATURE AT SECONDARY SUPERHEATER OUTLET,Boiler,PCFB,Superheater,-,SSH,2,-,-,-,-,-,-,Outlet,Outlet,1,Main Steam,Temperature,2,-,DEG C,-,-,-,-,-,-,Steam Path,530,-,
